id,wea_conditions,wea_temp,wea_dptemp,wea_humidity,wea_windspeed,wea_winddir,wea_visibility,wea_pressure,wea_precipitation,wea_fog,wea_rain,wea_snow
8420,Overcast,21.1,19.4,90,5.6,0,4.8,29.7,,No,No,No
7303,Light_Rain,9.4,7.2,86,11.1,0,4.8,29.8,0.3,No,Y,No
5782,Mostly_Cloudy,11.1,1.7,53,0,0,16.1,30.4,,No,No,No
3313,Overcast,12,9,82,20.4,240,16.1,29.5,0.3,No,No,No
4235,Clear,5.6,-1.7,60,0,0,16.1,30.3,,No,No,No
5412,Clear,13.9,-10,18,5.6,0,16.1,30.4,,No,No,No
7088,Clear,13.9,-4.4,28,5.6,160,16.1,30.4,,No,No,No
7625,Clear,12.8,5,59,5.6,260,16.1,30.2,,No,No,No
478,Light_Rain,21.1,20,93,5.6,0,4,29.9,2,No,Y,No
3668,Clear,10.6,5,68,5.6,40,16.1,30,,No,No,No
3633,Clear,4.4,-3.9,55,13,20,16.1,30.1,,No,No,No
504,Clear,26.1,19.4,66,9.3,260,16.1,29.9,,No,No,No
7260,Clear,2.8,-6.7,50,5.6,0,16.1,30.1,,No,No,No
1829,Mostly_Cloudy,1.1,-9.4,46,9.3,0,16.1,30.1,,No,No,No
6951,Clear,21.7,-2.8,19,,0,16.1,30.1,,No,No,No
1339,Light_Rain,15,7.2,60,5.6,0,12.9,30,0,No,Y,No
3237,Clear,20.6,13.3,63,7.4,0,16.1,30.1,,No,No,No
3845,Clear,3.3,-11.1,35,0,0,16.1,30.4,,No,No,No
5138,Partly_Cloudy,21.7,3.9,31,0,0,16.1,30.1,,No,No,No
512,Clear,16.7,-1.1,30,5.6,0,16.1,30.1,,No,No,No
5417,Scattered_Clouds,1.1,-11.7,38,27.8,290,16.1,29.7,,No,No,No
7493,Clear,2.8,-15.6,25,9.3,0,16.1,30.4,,No,No,No
3491,Clear,27,9,32,5.6,270,16.1,30,,No,No,No
7372,Overcast,-5,-10.6,65,11.1,60,16.1,30.4,,No,No,No
5987,Mostly_Cloudy,22.8,15.6,64,14.8,70,14.5,30.1,,No,No,No
6041,Haze,16.1,13.3,83,7.4,0,9.7,30,,No,No,No
7778,Mostly_Cloudy,3.3,-1.7,70,5.6,220,16.1,30.3,,No,No,No
5101,Mostly_Cloudy,30,18.3,49,5.6,0,11.3,30.1,,No,No,No
5981,Light_Rain,11.7,10,89,13,160,2.4,29.5,4.6,No,Y,No
1060,Clear,6.7,-1.7,55,11.1,0,16.1,29.9,,No,No,No
7038,Overcast,7.8,5.6,86,9.3,10,8,29.8,,No,No,No
4850,Clear,22,20,88,5.6,280,16.1,29.9,,No,No,No
526,Mostly_Cloudy,13.9,-0.6,37,9.3,60,16.1,30,,No,No,No
8073,Mostly_Cloudy,15,-1.7,32,9.3,0,16.1,30,,No,No,No
4648,Overcast,11.7,8.9,83,9.3,0,16.1,29.7,,No,No,No
840,Overcast,10,7.8,86,14.8,70,6.4,29.7,0,No,No,No
7085,Clear,-2.8,-16.7,34,11.1,0,16.1,30.1,,No,No,No
1305,Clear,5,-2.2,60,11.1,0,16.1,29.9,,No,No,No
3683,Clear,18.9,-2.2,24,0,0,16.1,30,,No,No,No
2581,Clear,26.7,15,48,5.6,0,12.9,29.9,,No,No,No
5785,Clear,21.7,-5.6,16,0,0,16.1,30.3,,No,No,No
4421,Light_Rain,14.4,12.8,90,16.7,170,4.8,29.4,2,No,Y,No
5619,Light_Rain,4.4,1.1,79,0,0,8,29.9,0.5,No,Y,No
5554,Clear,1.7,-12.8,34,0,0,16.1,30.6,,No,No,No
4647,Clear,13.3,6.1,62,0,0,16.1,29.8,,No,No,No
873,Clear,7.2,-9.4,30,11.1,0,16.1,30.2,,No,No,No
